"Codigo";"Descripcion";"Clasificador";"Indice_IPC";"v_m_IPC";"v_i_a_IPC";"Region";"Periodo_codificado"
06;Salud;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
07;Transporte;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
07;Transporte;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
07;Transporte;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
07;Transporte;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
07;Transporte;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
07;Transporte;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
07;Transporte;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
08;Comunicación;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
08;Comunicación;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
08;Comunicación;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
08;Comunicación;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
08;Comunicación;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
08;Comunicación;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
08;Comunicación;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
09;Recreación y cultura;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
09;Recreación y cultura;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
09;Recreación y cultura;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
09;Recreación y cultura;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
09;Recreación y cultura;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
09;Recreación y cultura;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
09;Recreación y cultura;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
